Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
1,The Social Network,2010,1400,13,https://letterboxd.com/film/the-social-network/
2,The Dark Knight,2008,1400,13,https://letterboxd.com/film/the-dark-knight/
3,Black Swan,2010,1388,13,https://letterboxd.com/film/black-swan/
4,The Lord of the Rings: The Return of the King,2003,1371,13,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
5,The Lord of the Rings: The Two Towers,2002,1370,13,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
6,The Silence of the Lambs,1991,1358,13,https://letterboxd.com/film/the-silence-of-the-lambs/
7,The Shawshank Redemption,1994,1353,13,https://letterboxd.com/film/the-shawshank-redemption/
8,Good Will Hunting,1997,1351,13,https://letterboxd.com/film/good-will-hunting/
9,The Empire Strikes Back,1980,1351,12,https://letterboxd.com/film/the-empire-strikes-back/
10,Ratatouille,2007,1349,13,https://letterboxd.com/film/ratatouille/
11,Pulp Fiction,1994,1346,13,https://letterboxd.com/film/pulp-fiction/
12,Interstellar,2014,1342,12,https://letterboxd.com/film/interstellar/
13,Whiplash,2014,1339,13,https://letterboxd.com/film/whiplash-2014/
14,Schindler's List,1993,1337,13,https://letterboxd.com/film/schindlers-list/
15,The Godfather Part II,1974,1324,13,https://letterboxd.com/film/the-godfather-part-ii/
16,The Lord of the Rings: The Fellowship of the Ring,2001,1320,13,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
17,WALL-E,2008,1319,13,https://letterboxd.com/film/walle/
18,Arrival,2016,1318,13,https://letterboxd.com/film/arrival-2016/
19,Scott Pilgrim vs. The World,2010,1307,13,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
20,City of God,2002,1306,13,https://letterboxd.com/film/city-of-god/
21,Joker,2019,1305,13,https://letterboxd.com/film/joker-2019/
22,Saving Private Ryan,1998,1305,12,https://letterboxd.com/film/saving-private-ryan/
23,Inglourious Basterds,2009,1304,13,https://letterboxd.com/film/inglourious-basterds/
24,Lady Bird,2017,1299,13,https://letterboxd.com/film/lady-bird/
25,Se7en,1995,1299,13,https://letterboxd.com/film/se7en/
26,The Martian,2015,1299,13,https://letterboxd.com/film/the-martian/
27,Everything Everywhere All At Once,2022,1298,13,https://letterboxd.com/film/everything-everywhere-all-at-once/
28,The Godfather,1972,1298,13,https://letterboxd.com/film/the-godfather/
29,The Big Short,2015,1297,13,https://letterboxd.com/film/the-big-short/
30,Goodfellas,1990,1297,13,https://letterboxd.com/film/goodfellas/
31,Oppenheimer,2023,1295,13,https://letterboxd.com/film/oppenheimer-2023/
32,Spider-Man: Across the Spider-Verse,2023,1295,13,https://letterboxd.com/film/spider-man-across-the-spider-verse/
33,American Psycho,2000,1294,13,https://letterboxd.com/film/american-psycho/
34,Eternal Sunshine of the Spotless Mind,2004,1292,13,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
35,Terminator 2: Judgment Day,1991,1292,13,https://letterboxd.com/film/terminator-2-judgment-day/
36,La La Land,2016,1287,13,https://letterboxd.com/film/la-la-land/
37,Spider-Man: Into the Spider-verse,2018,1286,13,https://letterboxd.com/film/spider-man-into-the-spider-verse/
38,Star Wars: Episode IV - A New Hope,1977,1282,13,https://letterboxd.com/film/star-wars-episode-iv-a-new-hope/
39,Inception,2010,1282,13,https://letterboxd.com/film/inception/
40,A Quiet Place,2018,1281,13,https://letterboxd.com/film/a-quiet-place-2018/
41,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1281,13,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
42,Full Metal Jacket,1987,1277,13,https://letterboxd.com/film/full-metal-jacket/
43,Kill Bill Vol. 1,2003,1275,13,https://letterboxd.com/film/kill-bill-vol-1/
44,Forrest Gump,1994,1273,13,https://letterboxd.com/film/forrest-gump/
45,Back to the Future,1985,1270,12,https://letterboxd.com/film/back-to-the-future/
46,Monty Python and the Holy Grail,1975,1270,13,https://letterboxd.com/film/monty-python-and-the-holy-grail/
47,Moonlight,2016,1267,13,https://letterboxd.com/film/moonlight-2016/
48,The Imitation Game,2014,1266,13,https://letterboxd.com/film/the-imitation-game/
49,Your Name,2016,1264,13,https://letterboxd.com/film/your-name/
50,The Prestige,2006,1263,13,https://letterboxd.com/film/the-prestige/
51,Silver Linings Playbook,2012,1262,13,https://letterboxd.com/film/silver-linings-playbook/
52,The Dark Knight Rises,2012,1259,13,https://letterboxd.com/film/the-dark-knight-rises/
53,1917,2019,1255,12,https://letterboxd.com/film/1917/
